Tên thi?t b?,??A CH? IP,Hãng SX,Tình tr?ng v?n hành,Lo?i thi?t b?
374-115 Co Súc,192.168.3.190,Schneider,,
372-29 Nà Lùn,192.168.3.154,Cooper,,
371-7/59 Chi?ng Ch?n,192.168.4.54,Schneider,,
382-30 NBMS,192.168.2.38,Schneider,,
378-40 NBMS,192.168.2.254,Schneider,,
375-16 NMG,192.168.1.74,Schneider,,
382/52/47 Nà Tre,192.168.1.66,Schneider,,
375/8/21 Nà Bó,192.168.2.46,Schneider,,
382-3 Nà ?t,192.168.1.62,Schneider,,
375-86 Ti?u Khu 32,192.168.2.54,Schneider,,
373/107 Tà Làng 1,192.168.3.26,Schneider,,
374-63 Phú Khoa,192.168.3.174,Schneider,,
374-8 B?n D?o,192.168.3.254,Schneider,,
472-5 B?n Bon,192.168.3.210,Schneider,,
476-26 Tân l?p,192.168.3.214,Noja,,
372-104 B?n Chi?ng Ve,192.168.3.178,Schneider,,
472-9 Hang Trùng,192.168.3.230,Noja,,
476-2E Tân H?p,192.168.3.234,Noja,,
375-7-269-50 B?n T?m,192.168.1.114,Schneider,,
375-7-21-10 B?n Cà,192.168.1.122,Schneider,,
375-7/569 Phiêng Bay,192.168.6.2,FTU SNS,,
375-7512 B?n Giôn,192.168.6.6,FTU SNS,,
375-7/533/2 Chi?ng Khay,192.168.16.62,FTU SNS,,
375-7/489/6 M??ng Giôn,192.168.6.30,FTU SNS,,
375-7/451/2 Hu?i Ná,192.168.6.22,FTU SNS,,
375-7/470/75 Pá Ngà,192.168.6.14,FTU SNS,,
375-7-219 Bó M?,192.168.1.150,Schneider,,
375-7/134/2 Mu?i N?i,192.168.6.26,FTU SNS,,
375-7/121/51 Xi M?ng,192.168.6.18,FTU SNS,,
375-7/52/1A Nhà Sày,192.168.5.218,FTU SNS,,
375-7/49/3 Th?m Phé,192.168.5.222,FTU SNS,,
375-7-217-4 Nong Lay,192.168.1.154,Schneider,,
371-7-46 B?n Nh?p,192.168.1.186,FTU,,
471-7-201-1 NM N??c TP,192.168.2.218,Schneider,,
474-7/77 ??ng ki?m,192.168.4.42,Schneider,,
471-7/146 Bó Ph?a,192.168.2.230,Schneider,,
 474/1 B?nh Vi?n 500G(KH),,Shinsung,,
 478/1 Thành Trung (?MT)(KH),192.168.3.66,FTU,,
374-9 M??ng Tè,192.168.3.82,Schneider,,
473-7-223 CA T.Ph?,192.168.2.6,FTU,,
473-7-192 X? S?,192.168.2.34,FTU,,
476-7-78 Quy?t Tâm,192.168.16.238,FTU,,
476-7-122 ?ài T.Hình,192.168.2.26,FTU,,
476/181 HOA BAN,192.168.17.74,FTU,,
471-178 NB B?n C?,192.168.4.66,Noja,,
471-111 TK1,192.168.3.242,Schneider,,
471-7/40 Liên L?c(LL 471&478),192.168.2.170,FTU,,
378/55/2 NMSX?C,192.168.8.2,ILJIN,,
 379/24/1 NM Phân Bón,192.168.4.154,Schneider,,
473-7/94/21 Mé Ban,192.168.17.58,FTU,,
 474/45/1 Công An T?nh,192.168.6.114,Cooper,,
374-53 Quy?t Th?ng,192.168.17.42,Noja,,
471-8 KDC s? 5 Nam La,192.168.2.190,Schneider,,
478-3C TK 19-8,192.168.1.254,Schneider,,
472-91 Loong Luông,192.168.17.14,Schneider,,
476-76B Pa Khen,192.168.1.174,Schneider,,
 375/30/2 Minh Thúy,,POWERSYS,,
378-7/65/55 KCNMS,192.168.4.18,Schneider,,
377-7/249/2 Hu?i Chèo,192.168.7.198,FTU SNS,,
377-7/282/2 Hu?i H?c,192.168.7.126,FTU SNS,,
377-7/300/2 N?m Giôn,192.168.7.202,FTU SNS,,
377-7/300/50 Vó Ng?u,192.168.16.74,FTU SNS,,
375-7/53/2 B?n Nong,192.168.7.194,FTU SNS,,
375-7/86/83 B?n Chang,192.168.7.190,FTU SNS,,
375-7/81/17 H?ng Hin,192.168.7.146,FTU SNS,,
375-7/81/2B Tà L?,192.168.7.114,FTU SNS,,
377-28 Hua N?m,192.168.1.86,Schneider,,
 378/8/2A Doveco Mai S?n (KH),?,Shinsung,,
371-5 B?n Pa,192.168.3.134,Schneider,,
375-124 B?n Ban,192.168.11.174,Schneider,,
373-2 Ti?u Khu 1,192.168.3.138,Schneider,,
373-7 Tà ?ò,192.168.3.150,Schneider,,
471/156 B?n Mo 1,192.168.17.2,ENTEC,,
375/142/12A B?n Th?i,192.168.2.98,Noja,,
371-128 Su?i Nhào,192.168.3.146,Schneider,,
 375/1 Su?i T? (KH),?,Schneider,,
371/1 V?n Yên(  C?),?,Cooper,,
375-285 B?n ?ông,192.168.5.2,Schneider,,
373/173A M??ng Giàng,192.168.1.190,Schneider,,
375-480 B?n Cút,192.168.1.202,Schneider,,
375-5 B?n Ca,192.168.1.134,Schneider,,
375/86/3 Hu?i Phày,192.168.1.218,Schneider,,
 371/81/2 Trang tr?i Chi?ng San( KH),192.168.5.98,Shinsung,,
375/106/35 B?n Sang,192.168.1.94,Schneider,,
371-77 B?n Noong,192.168.1.98,Schneider,,
375-10 B?n Búng,192.168.1.102,Schneider,,
377-7/279 Hu?i Tao,192.168.16.70,FTU SNS,,
375-7/86/47 Nà Tòng,192.168.7.174,FTU SNS,,
377-60 Hua It,192.168.1.106,Schneider,,
375-74 Hu?i N?,192.168.2.106,Schneider,,
377-7/238 Phiêng Ph?,192.168.7.246,FTU,,
371-140 Nong Quang,192.168.1.138,Schneider,,
382-7/123/1 B?n Bít,192.168.12.30,Schneider,,
473-7/159/63 T? N?m Chanh,192.168.17.98,FTU SNS,,
473-7/169 T?nh ?y,192.168.10.248,FTU SNS,,
LBS 471-7/146/2 Bó Ph?a,192.168.4.110,FTU SNS,,
LBS 471-7/227 Chi?ng Xôm,192.168.17.70,FTU SNS,,
LBS 471-7/137/1 Nhà Thi?u Nhi,192.168.16.78,FTU SNS,,
LBS 473-7/142 Gi?ng L?c,192.168.4.114,FTU SNS,,
LBS 473-7/135 Liên l?c TG2.9 ( LL 473-476),192.168.4.94,FTU SNS,,
LBS 473-7/31 Liên l?c (LL 473-476 E17.2),192.168.4.106,FTU SNS,,
LBS 478-7/7 T? 3 Chi?ng Sinh,192.168.4.130,FTU SNS,,
LBS 471-7/2 H?o Phung,192.168.4.134,FTU SNS,,
471-7/55 Chi?ng ng?n,192.168.4.90,FTU SNS,,
473-7/111 Liên l?c (LL 473-476),192.168.4.126,FTU SNS,,
471-7/109/2 D?c ?á TK1,192.168.4.86,FTU SNS,,
476-7/121/1 ?ài truy?n Hình,192.168.17.110,FTU SNS,,
473-7/139 T?nh ??i,192.168.4.142,FTU SNS,,
473-7/198/1 T? 5 Tô Hi?u,192.168.4.122,FTU SNS,,
473-7/205/1 R?ng T?ch,192.168.10.252,FTU SNS,,
473-7/174/1 N?m La,192.168.4.78,FTU SNS,,
473-7/12/1 B?n Là,192.168.16.186,FTU SNS,,
LBS 478-7/71/41 B?n Th?m,192.168.4.98,FTU SNS,,
473-7/159-21 B?n P?ng,192.168.17.62,FTU SNS,,
378-7-68-5A Xum Lo,192.168.12.38,Schneider,,
378-7-83-3 Chi?ng Mai,192.168.4.38,Schneider,,
373-7/17 Thín Khá,192.168.3.30,Schneider,,
373-7/78 Ti?u khu 11,192.168.17.26,FTU,,
375-7/73/10 Phú L??ng,192.168.16.206,FTU,,
382-7/10 Tr?i Bò,192.168.2.22,FTU,,
382-7/40 B?n D?m,192.168.17.30,FTU,,
373/86/2 Ti?n Phong,192.168.2.246,Schneider,,
375/104/8 B?n L?ch,192.168.4.10,Schneider,,
375/115/3 Cò Nòi,192.168.4.6,Schneider,,
471TGMS,192.168.2.130,Schneider,,
378-7/84 Nà S?n,192.168.12.22,Shinsung,,
375-7/115/31 Bình Minh,192.168.4.170,Shinsung,,
373-7/77/60 T?n P?u,192.168.12.26,Shinsung,,
375-7/126/2 B?n Lu?n,192.168.4.178,Shinsung,,
373-7/23/12 Nà ?,192.168.16.242,Shinsung,,
382-7/52/2 B?n Áng,192.168.4.186/192.168.16.114,Shinsung,,
371-7/85/9 Tong Chiêng,192.168.9.50,Shinsung,,
375-7/103 B?n L?ch,192.168.4.194,Shinsung,,
371-7/67/3 Tong T?i,192.168.4.198,Shinsung,,
371-7/53/58 B?n Búc,192.168.4.202,Shinsung,,
375-7/5/66 Cáp Na,192.168.17.10,Shinsung,,
382 -7/52/103 Pom S?n (375-7/29/129 C?ng Tà H?c c?),192.168.4.210,Shinsung,,
375-7/62/1A Ti?u khu 1,192.168.16.102,Shinsung,,
378-7/232/2 T??ng Ni?m,192.168.4.218,Shinsung,,
382-7/181 Nà ?t,192.168.4.222,Shinsung,,
373-7/37/2A B?n M?t,192.168.16.98,Shinsung,,
382-7/52/70 B?n Mé,192.168.4.230,Shinsung,,
382-7/65/2 B?n M?y,192.168.4.234,Shinsung,,
382-7/136/54 Pá Ban,192.168.4.238,Shinsung,,
382-7/51 B?n Áng,192.168.4.226,Shinsung,,
382-7/165/68 L?m Cuông,192.168.4.246,Shinsung,,
382-7/110/3 Tàu Mông,192.168.4.254,Shinsung,,
371/5 Liên l?c (Liên l?c 371-375),192.168.5.10,Shinsung,,
 473/15/1 ?T Trí ??c M?c Châu,192.168.5.50,Schneider,,
373/55 Liên l?c (Liên l?c 373-375),192.168.5.14,Shinsung,,
375-7-110 Cò Nòi,192.168.5.18,Shinsung,,
371-7/53/13 Chi?ng ?en,192.168.5.22,Shinsung,,
373-7-239 Hu?i c?a,192.168.5.62,BoHung,,
371/41A/8 B?n Nh?p,192.168.16.2,ENTEC,,
473-7/56/1 Chu V?n Th?nh,192.168.5.26,FTU,,
371/84/2 Hua Ty,192.168.11.214,ENTEC,,
375-7/441/78 B?n Bon,192.168.6.74,FTU SNS,,
373/36/2 B?n Ngà,192.168.5.74,ENTEC,,
375-7/277/2 B?n H?u,192.168.6.94,FTU SNS,,
375-7-64/62A B?n T?ng,192.168.6.78,FTU SNS,,
375-7/129/2A Tông C?,192.168.6.70,FTU SNS,,
375-7/342/2 Hu?i C?a,192.168.6.86,FTU SNS,,
375-7/326 L?ng ?án,192.168.6.90,FTU SNS,,
375-7/132/1 M??ng Bon,192.168.7.142,FTU SNS,,
375-7/13/2 Hu?i P?n,192.168.7.102,FTU SNS,,
375-7/149/4 B?n Nh?c,192.168.7.162,FTU SNS,,
375-7/106/13 Bó M??i,192.168.7.150,FTU SNS,,
375-7/199/5 Co Ph??ng,192.168.7.182,FTU SNS,,
371-7/122/89A M??ng Bám,192.168.16.6,BoHung,,
375-7/132/30 Nà Sành,192.168.7.178,FTU SNS,,
375-7/106/201 Co Khi?t,192.168.7.98,FTU SNS,,
375-7-159/2 M??ng Khiêng,192.168.7.110,FTU SNS,,
375-7/177/2 Ph?n C??m,192.168.7.106,FTU SNS,,
473-7/69 TTGDTX,192.168.5.30,FTU,,
473-7/90 CA PCCC,192.168.5.34,FTU,,
471-7/68 C?p 3 Mai S?n,192.168.5.38,FTU,,
471-7/80 Th? Tr?n Mai S?n,192.168.5.42,FTU,,
471-1/111 Ngã t? Nông Tr??ng,192.168.5.46,FTU,,
371-7-53-64 Nà Vèn,192.168.16.218,Shinsung,,
473-7/119/2 B?n Mòn,192.168.5.206,FTU SNS,,
371-7-59-46 B?n L?nh,192.168.9.42,Shinsung,,
371-7-68-2 Púng Báng,192.168.9.46,Shinsung,,
371-7-252 B?n M?t,192.168.5.138,Shinsung,,
478/19A/1 ??i 70,192.168.5.66,ENTEC,,
372-7-89 To Láng,192.168.16.110,Shinsung,,
376-7-106-2 Pa Phang,192.168.16.138,Shinsung,,
372-7-92-57 Co ph??ng,192.168.5.110,Shinsung,,
372-7-140 Bu?c Phát,192.168.5.114,Shinsung,,
372-7-92-181 Xuân Nha,192.168.5.118,Shinsung,,
376-7/36/90 B?n Cóc,192.168.5.126,Shinsung,,
376-7-36-2 B?n Áng,192.168.5.142,Shinsung,,
371-7-297-3 Sam Kho?ng,192.168.16.126,Shinsung,,
371-7-52 Vi Ba,192.168.5.150,Shinsung,,
371-7-46-2 B?n Tông,192.168.5.154,Shinsung,,
371-7-139-2 Nong Ph?,192.168.16.142,Shinsung,,
371-7-61-26 Hu?i Ni?ng,192.168.5.162,Shinsung,,
371/59/14 N?m L?nh,192.168.5.166,Noja,,
371-7-53-3 S?p N?m,192.168.16.166,Shinsung,,
371-7-82-2 Nà L?a,192.168.5.174,Shinsung,,
371-7-99 B?n Cang,192.168.16.210,Shinsung,,
371-7-155-54 B?n T?a,192.168.9.38,Shinsung,,
371-7-169-2 M??ng L?n,192.168.17.18,Shinsung,,
373-7/87/2 UB Huy?n,192.168.5.214,FTU SNS,,
373-7/52/37 ??a Luông,192.168.16.134,BoHung,,
373-7/58/2 Hu?i L?ch,192.168.6.222,BoHung,,
373-7/52/85 Hin Pén,192.168.6.242,BoHung,,
373-7/203/149 Bó Sinh,192.168.6.226,BoHung,,
373-7/203/105 Hin H?,192.168.6.238,BoHung,,
373-7/113/1 Pú P?u,192.168.6.254,BoHung,,
373-7/103/2 Co Mu?ng,192.168.7.2,BoHung,,
373-7/184/1 Hu?i Pàn,192.168.7.26,BoHung,,
373-7/246 Nà Tòng,192.168.17.22,BoHung,,
373-7/337 Chi?ng Phung,192.168.6.230,BoHung,,
373-7/379 Co M?,192.168.7.6,BoHung,,
373-7/264/4 B?n Pàn,192.168.6.202,BoHung,,
373-7/132/2 Xum Côn,192.168.16.146,BoHung,,
373-7/131/2 Cánh Ki?n,192.168.7.14,BoHung,,
373-7/124 Nà T?u,192.168.7.18,BoHung,,
373-7/42/2 To Hay,192.168.6.206,BoHung,,
373-7/78 Lê H?ng Phong,192.168.9.26,BoHung,,
373-7/105/2 Nà Hin,192.168.6.246,BoHung,,
373-7/241/57 B?n Chà,192.168.6.214,BoHung,,
373-7/24A N?m Pù,192.168.7.10,BoHung,,
373-7/179A Phiêng Xa,192.168.7.22,BoHung,,
373-7/113/152 Con Kh?m,192.168.7.62,FTU SNS,,
377-7/78/1 Liên L?c,192.168.7.242,FTU SNS,,
371-7/206 Hin Phá,192.168.16.150,FTU,,
374-1/51/18A TG 2/9,192.168.7.86,FTU SNS,,
371-7/59 TG 2/9,192.168.7.90,FTU SNS,,
375-7/57/2 B?c C??ng,192.168.16.26,BoHung,,
375-7/113/2 Nam Ti?n,192.168.16.38,BoHung,,
375-7/72/2 B?n Bon,192.168.16.22,BoHung,,
375-7/47/2 B?n Chao,192.168.16.10,BoHung,,
375-7/33/2 Chi?ng Ngàm,192.168.16.14,BoHung,,
375-7/33/2 Nà C?a,192.168.16.18,BoHung,,
371-7/84/36 Nong C?c,192.168.8.98,BoHung,,
375-7/264 Chi?ng Khoang,192.168.16.30,BoHung,,
375-7/76 Hua Là,192.168.16.34,BoHung,,
375-7/86/36 B?n D?,192.168.16.42,BoHung,,
372-7/246 A Má,192.168.8.106,FTU SNS,,
371-7/143 B?n M?i,192.168.8.86,BoHung,,
371-7/153/27 Hát Khúa,192.168.8.82,BoHung,,
373-7/97/1 B?n Mòn,192.168.8.218,FTU SNS,,
373-7/72/1 Su?i Dinh,192.168.8.230,FTU SNS,,
373-7/36/25 Su?i Chèo,192.168.8.130,FTU SNS,,
371-7/329 Lái Ngài,192.168.8.118,FTU SNS,,
371-7/345 Co Mu?ng,192.168.8.214,FTU SNS,,
371-7/313 Bãi S?i,192.168.8.154,FTU SNS,,
372-7/175/1 Pù L?u,192.168.8.178,FTU SNS,,
372-7/92/210 B?n B??t,192.168.8.170,FTU SNS,,
371-7/223 B?c B?n,192.168.8.234,FTU SNS,,
371-7/103/48 B?n In,192.168.8.246,FTU SNS,,
375-7/16/3 Bùa Chung,192.168.8.194,FTU SNS,,
375-7/52/1 To Th??ng,192.168.8.146,FTU SNS,,
373-7/17/55 Hua Ngà,192.168.8.34,FTU SNS,,
375-7/191/3 M??ng C?i,192.168.8.38,FTU SNS,,
372-7/83/18 Sa Lai,192.168.8.126,FTU SNS,,
376-7/56 An Thái,192.168.8.138,FTU SNS,,
376-7/36/16 T? Nhiên,192.168.8.162,FTU SNS,,
372-7/58/1 M??ng Sang,192.168.8.182,FTU SNS,,
372-7/58/134 Su?i ?ôn,192.168.9.6,FTU SNS,,
372-7/54 Là Ngà,192.168.8.198,FTU SNS,,
473-7/55 M??ng Thanh,"192,168,8,46",FTU SNS,,
471-7/56 M??ng Thanh,"192,168,9,10",FTU SNS,,
372-7/27A/1 B?n Áng 1,192.168.8.202,FTU SNS,,
372-7/4A/1 TK 77,192.168.8.142,FTU SNS,,
474-7/41 B?n Mòn,192.168.8.166,FTU SNS,,
371-7/56 T?m ?c,192.168.8.158,FTU SNS,,
373-7/28/1 Tà Xùa,192.168.8.222,FTU SNS,,
375-7/8/195 L?m H?,192.168.8.254,FTU SNS,,
375-7/317/2 M??ng Lang,192.168.8.242,FTU SNS,,
478-7/15 ?ài Bay,192.168.8.114,FTU SNS,,
471-7/11/14 Chè M?c Châu,192.168.8.110,FTU SNS,,
478-7/14/47C Phiêng Ti?n,192.168.8.30,FTU SNS,,
375-7/496 B?n Bang,192.168.8.22,FTU SNS,,
375-7/450/1 Chè Mè,192.168.8.18,FTU SNS,,
375-7/458 B?n Trùng,192.168.8.14,FTU SNS,,
